genre,movie,year,score,people
豆瓣电影标签：爱情,"
                        三生三世十里桃花
                        / Once Upon a Time
",2017,,
豆瓣电影标签：爱情,"
                        逆袭之星途璀璨
                        / 逆袭之星途闪耀
",2017,4.1,2238
豆瓣电影标签：爱情,"
                        横道世之介
                        / 那年遇上世之介(港) / A Story of Yonosuke
",2013,8.7,51203
豆瓣电影标签：爱情,"
                        黑暗面
                        / 镜中人 / The Hidden Face
",2011,8.1,73844
豆瓣电影标签：爱情,"
                        午夜巴黎
                        / 午夜·巴黎(台) / 情迷午夜巴黎(港)
",2011,8.2,165812
豆瓣电影标签：爱情,"
                        时间旅行者的妻子
                        / 时光旅的恋人(港) / 时空旅人之妻(台)
",2009,7.7,166100
豆瓣电影标签：爱情,"
                        画皮
                        / Painted Skin
",2008,6.5,237254
豆瓣电影标签：爱情,"
                        秘果
                        / Secret Fruit
",2017,5.0,1963
豆瓣电影标签：爱情,"
                        美味人妻
                        / 美味的妻子 / Juicy Affair
",2014,3.9,705
豆瓣电影标签：爱情,"
                        土拨鼠之日
                        / 今天暂时停止(台) / 偷天情缘
",1993,8.5,59177
豆瓣电影标签：爱情,"
                        偷心
                        / 靠近 / 偷情
",2004,7.8,110380
豆瓣电影标签：爱情,"
                        一粒红尘
                        / My Ruby My Blood / Collapse of Mundanes Life
",2017,4.1,2402
豆瓣电影标签：爱情,"
                        曼哈顿
                        / 曼哈顿
",1979,8.3,17386
豆瓣电影标签：爱情,"
                        求婚大作战
                        / Puropôzu dai sakusen / Operation Love
",2007,8.7,74065
豆瓣电影标签：爱情,"
                        蓝宇
                        / Histoire d'hommes à Pékin / Lan Yu
",2001,8.0,113337
豆瓣电影标签：爱情,"
                        小楼的奇幻生活
                    ",2014,8.1,1051
豆瓣电影标签：爱情,"
                        同桌的妳
                        / 同桌的你 / My Old Classmate
",2014,5.8,151655
豆瓣电影标签：爱情,"
                        海角七号
                        / Cape No. 7
",2009,7.5,197530
豆瓣电影标签：爱情,"
                        左耳
                        / 左耳电影版 / The Left Ear
",2015,5.4,115395
豆瓣电影标签：爱情,"
                        赛末点
                        / 迷失决胜分 / 爱情决胜点
",2005,8.1,86019
豆瓣电影标签：爱情,"
                        成为简·奥斯汀
                        / 珍爱来临 / 成为简
",2007,8.2,148789
豆瓣电影标签：爱情,"
                        艺伎回忆录
                        / 艺妓回忆录 / 艺伎回忆录
",2005,7.0,93096
豆瓣电影标签：爱情,"
                        爱在暹罗
                        / 暹罗之恋 / 爱在暹罗广场
",2007,8.3,209720
豆瓣电影标签：爱情,"
                        史密斯夫妇
                        / 史密斯行动 / 史密夫决战史密妻(港)
",2005,7.6,241264
豆瓣电影标签：爱情,"
                        蒂凡尼的早餐
                        / 靓女芳心(港) / 珠光宝气
",1961,8.1,115642
豆瓣电影标签：爱情,"
                        金刚
                        / King Kong: The Eighth Wonder of the World
",2006,7.8,164811
豆瓣电影标签：爱情,"
                        2046
                        / 2046
",2004,7.4,119213
豆瓣电影标签：爱情,"
                        微微一笑很倾城
                        / 微微一笑很倾城电影版 / Love O2O
",2016,5.1,66485
豆瓣电影标签：爱情,"
                        狼少年
                        / 狼少年：不朽的爱(台) / 狼族少年
",2013,7.8,80751
豆瓣电影标签：爱情,"
                        东京爱情故事
                        / Tokyo Love Story / 东京爱情故事
",1991,9.4,77983
豆瓣电影标签：爱情,"
                        朝5晚9：帅气和尚爱上我
                        / 朝5晚9：帅气和尚恋上我 / 朝五晚九：俊俏和尚爱上我
",2015,7.4,65913
豆瓣电影标签：爱情,"
                        燃情岁月
                        / 秋日传奇 / 真爱一世情(台)
",1994,8.8,143922
豆瓣电影标签：爱情,"
                        堕落天使
                        / Fallen Angels
",1995,8.1,65671
豆瓣电影标签：爱情,"
                        冷山
                        / 乱世情天 / 冷峰
",2004,8.0,87155
豆瓣电影标签：爱情,"
                        奸臣
                        / The Treacherous
",2015,6.4,36279
豆瓣电影标签：爱情,"
                        千年女优
                        / Millennium Actress
",2002,8.5,86306
豆瓣电影标签：爱情,"
                        请以你的名字呼唤我
                        / 以你的名义呼唤我 / 唤吾汝名
",2017,9.1,337
豆瓣电影标签：爱情,"
                        “吃吃”的爱
                        / 吃吃的爱 / 吃吃睡睡爱
",2017,5.8,22847
豆瓣电影标签：爱情,"
                        致我们终将逝去的青春
                        / 致青春 / So Young
",2014,6.6,323677
豆瓣电影标签：爱情,"
                        漂洋过海来看你
                        / Across the Ocean to See You
",2017,6.5,7750
豆瓣电影标签：爱情,"
                        苦月亮
                        / 钥匙孔的爱(台) / 偷月迷情
",1992,8.2,33986
豆瓣电影标签：爱情,"
                        羞耻 第四季
                    ",2017,9.4,5214
豆瓣电影标签：爱情,"
                        不可抗力爱上你
                        / 不可抗力(第二部) / Uncontrolled Love 2
",2016,6.5,2277
豆瓣电影标签：爱情,"
                        一条狗的使命
                        / 为了与你相遇(台) / 再见亦是狗朋友(港)
",2017,7.7,131826
豆瓣电影标签：爱情,"
                        非诚勿扰
                        / If You Are the One
",2008,7.1,246786
豆瓣电影标签：爱情,"
                        四月物语
                        / April Story
",1998,8.1,109604
豆瓣电影标签：爱情,"
                        西雅图未眠夜
                        / 西雅图夜未眠 / 缘份的天空
",1993,7.9,158423
豆瓣电影标签：爱情,"
                        前度
                        / 前任 / 前那个
",2010,7.1,153709
豆瓣电影标签：爱情,"
                        我女朋友的男朋友
                        / 一个宅男的无逻辑日常
",2017,7.7,2037
豆瓣电影标签：爱情,"
                        欢乐颂
                        / Ode to Joy
",2016,7.3,97530
豆瓣电影标签：爱情,"
                        爱的那点性事
                        / 啪上云霄 (港) / 爱爱小确性(台)
",2014,7.4,15914
豆瓣电影标签：爱情,"
                        雨中曲
                        / 雨中情 / 万花嬉春
",1952,8.9,88803
豆瓣电影标签：爱情,"
                        十二夜
                        / 12夜 / Twelve Nights
",2000,8.0,37851
豆瓣电影标签：爱情,"
                        珍珠港
                        / Tennessee
",2001,7.8,136445
豆瓣电影标签：爱情,"
                        如果·爱
                        / Perhaps Love
",2005,7.6,147135
豆瓣电影标签：爱情,"
                        情圣
                        / Some Like It Hot
",2016,6.1,71029
豆瓣电影标签：爱情,"
                        恶作剧之吻
                        / 恶作剧之吻第一部 / 梦幻华尔兹
",2005,8.6,52179
豆瓣电影标签：爱情,"
                        布鲁克林
                        / 爱在他乡(台) / 布鲁克林之恋(港)
",2015,7.7,47261
豆瓣电影标签：爱情,"
                        52赫兹，我爱你
                        / 52Hz我爱你 / 52 Hz, I Love You
",2017,6.4,773
豆瓣电影标签：爱情,"
                        嫌疑人X的献身
                        / 容疑者X的献身 / 嫌疑犯X的献身
",2008,8.3,123479
